train_frac,train_n,total_params,best_val_loss_mean,best_val_loss_std,best_epoch_mean
0.3,90,11268,0.4966829359531403,0.014437523093641031,397.2
0.3368421052631579,101,11268,0.4762759983539581,0.027400198708935355,400.0
0.3736842105263158,112,11268,0.4855148732662201,0.02585914467676391,400.0
0.41052631578947363,123,11268,0.4689198970794678,0.01064447666798572,400.0
0.4473684210526315,134,11268,0.43184577822685244,0.03224107760879314,397.0
0.4842105263157894,145,11268,0.33783754110336306,0.009958554464760598,399.6
0.5210526315789473,156,11268,0.31825650930404664,0.015377916647288338,399.6
0.5578947368421052,167,11268,0.31785779595375063,0.016231557768849124,399.4
0.5947368421052631,179,11268,0.3016780197620392,0.010939185490246783,399.6
0.631578947368421,190,11268,0.2917522192001343,0.008812325868657512,399.4
0.6684210526315789,201,11268,0.29157418608665464,0.006900810312342178,399.8
0.7052631578947368,212,11268,0.2833898663520813,0.006724302369307452,399.4
0.7421052631578946,223,11268,0.2997808873653412,0.016549193299141233,400.0
0.7789473684210526,234,11268,0.2841236650943756,0.005886709304271793,399.6
0.8157894736842104,245,11268,0.2823497593402863,0.005012963504394476,400.0
0.8526315789473684,256,11268,0.28060426712036135,0.008842033259754894,399.2
0.8894736842105262,267,11268,0.2797411322593689,0.009166880600748134,399.0
0.9263157894736842,278,11268,0.2555328726768494,0.006972620091346365,398.4
0.963157894736842,289,11268,0.2452560007572174,0.010867588207975351,399.0
1.0,301,11268,0.24005112648010254,0.004785698935929427,398.8
