epoch,grad_global_norm,probe_loss
1,2.8992040157318115,1.8916025161743164
2,2.671226739883423,1.8102538585662842
3,3.56406831741333,1.7947179079055786
4,0.8151499629020691,1.622822880744934
5,2.351196527481079,1.612549901008606
6,1.3376104831695557,1.5211942195892334
7,1.1941871643066406,1.4663093090057373
8,1.3392287492752075,1.4188858270645142
9,0.5452879071235657,1.3546240329742432
10,1.0112109184265137,1.3157540559768677
11,0.39023712277412415,1.2605438232421875
12,0.7554692029953003,1.2211498022079468
13,0.2921719551086426,1.1726974248886108
14,0.4784015417098999,1.1331560611724854
15,0.39390113949775696,1.0917762517929077
16,0.17492307722568512,1.0518971681594849
17,0.29880520701408386,1.0151581764221191
18,0.28939950466156006,0.9783284068107605
19,0.18658296763896942,0.9429433941841125
20,0.17764876782894135,0.9102353453636169
21,0.3098297715187073,0.8786235451698303
22,0.16674189269542694,0.8461599349975586
23,0.15209828317165375,0.8163955807685852
24,0.2524449825286865,0.7878258228302002
25,0.15354782342910767,0.7595490217208862
26,0.12557287514209747,0.7327548265457153
27,0.19568492472171783,0.7072039246559143
28,0.11264938116073608,0.681427001953125
29,0.1784137487411499,0.6577673554420471
30,0.15272243320941925,0.6345398426055908
31,0.09260383993387222,0.6120686531066895
32,0.1876446157693863,0.591937243938446
33,0.14511047303676605,0.5706133842468262
34,0.10404283553361893,0.5503526926040649
35,0.13828040659427643,0.5322362780570984
36,0.13289296627044678,0.5137468576431274
37,0.11582522839307785,0.49528270959854126
38,0.14757728576660156,0.4789743721485138
39,0.12501730024814606,0.46208426356315613
40,0.12241554260253906,0.4475492537021637
41,0.13945402204990387,0.432001531124115
42,0.1208152323961258,0.41761696338653564
43,0.11887715756893158,0.4036065340042114
44,0.11309712380170822,0.39095431566238403
45,0.12405213713645935,0.37812477350234985
46,0.12153884768486023,0.3659890294075012
47,0.12023741006851196,0.3535774350166321
48,0.11945586651563644,0.3429059386253357
49,0.11830030381679535,0.33208775520324707
50,0.09112676978111267,0.3211694359779358
51,0.12905795872211456,0.3117326498031616
52,0.09034489840269089,0.3013714551925659
53,0.11518286168575287,0.2932306230068207
54,0.1269763708114624,0.28446292877197266
55,0.09826839715242386,0.27562177181243896
56,0.1278516799211502,0.26763543486595154
57,0.10178070515394211,0.2600233554840088
58,0.10854897648096085,0.252414345741272
59,0.10877036303281784,0.24587391316890717
60,0.0948648452758789,0.23869016766548157
61,0.10339021682739258,0.23224210739135742
62,0.09572110325098038,0.22560155391693115
63,0.10094085335731506,0.21944278478622437
64,0.10665435343980789,0.21376335620880127
65,0.0991533026099205,0.20803430676460266
66,0.11021138727664948,0.20313984155654907
67,0.09910885244607925,0.197923481464386
68,0.10517184436321259,0.1931091547012329
69,0.11252905428409576,0.18852508068084717
70,0.09000739455223083,0.1837824583053589
71,0.10756884515285492,0.1797402799129486
72,0.099452905356884,0.17561431229114532
73,0.1011531874537468,0.17161333560943604
74,0.09801943600177765,0.1680344194173813
75,0.0955263152718544,0.16434410214424133
76,0.10860323905944824,0.1609273999929428
77,0.09613682329654694,0.15755222737789154
78,0.10370432585477829,0.15386556088924408
79,0.09386041760444641,0.15105457603931427
80,0.10264704376459122,0.14813539385795593
81,0.10025740414857864,0.14513762295246124
82,0.09900867938995361,0.14272627234458923
83,0.10503407567739487,0.13992004096508026
84,0.09574149549007416,0.13710466027259827
85,0.10110986977815628,0.13464823365211487
86,0.09365931153297424,0.13242708146572113
87,0.09531371295452118,0.13015252351760864
88,0.10231227427721024,0.12828266620635986
89,0.10486285388469696,0.12590445578098297
90,0.09684645384550095,0.12397551536560059
91,0.10823289304971695,0.12268470972776413
92,0.09027136117219925,0.12063942849636078
93,0.09667240083217621,0.11870460212230682
94,0.1001453623175621,0.11710424721240997
95,0.08938893675804138,0.11571013927459717
96,0.09661665558815002,0.11393462121486664
97,0.09009960293769836,0.11262762546539307
98,0.09257879108190536,0.11084738373756409
99,0.08935481309890747,0.10969734191894531
100,0.09521235525608063,0.10830280184745789
101,0.08813709765672684,0.10708621144294739
102,0.09885329753160477,0.10589414834976196
103,0.09007525444030762,0.10427913069725037
104,0.10216675698757172,0.10348036140203476
105,0.0826762318611145,0.10244211554527283
106,0.10681401938199997,0.10169597715139389
107,0.09078118205070496,0.10049892216920853
