neurons_per_layer,total_params,best_val_loss,best_epoch
[4],48,0.12741345167160034,400
"[4, 4]",68,0.13833150267601013,379
"[4, 4, 4]",88,0.14454440772533417,400
[8],92,0.12887747585773468,388
"[4, 4, 4, 4]",108,0.14326581358909607,400
"[4, 4, 4, 4, 4]",128,0.1509643793106079,400
"[8, 8]",164,0.12377601861953735,392
[16],180,0.11778527498245239,400
"[8, 8, 8]",236,0.13545769453048706,397
"[8, 8, 8, 8]",308,0.14191396534442902,392
[32],356,0.1005561500787735,399
"[8, 8, 8, 8, 8]",380,0.14469735324382782,400
"[16, 16]",452,0.11248146742582321,398
[64],708,0.10193434357643127,396
"[16, 16, 16]",724,0.12752148509025574,400
"[16, 16, 16, 16]",996,0.13833768665790558,400
"[16, 16, 16, 16, 16]",1268,0.14135344326496124,399
[128],1412,0.09748898446559906,398
"[32, 32]",1412,0.10859908908605576,400
"[32, 32, 32]",2468,0.11092854291200638,392
[256],2820,0.0958283394575119,400
"[32, 32, 32, 32]",3524,0.12649887800216675,384
"[32, 32, 32, 32, 32]",4580,0.13449497520923615,396
"[64, 64]",4868,0.10302965342998505,400
[512],5636,0.09364059567451477,398
"[64, 64, 64]",9028,0.10793296992778778,396
[1024],11268,0.08991134166717529,400
"[64, 64, 64, 64]",13188,0.11422400176525116,400
"[64, 64, 64, 64, 64]",17348,0.12024736404418945,394
"[128, 128]",17924,0.09948661178350449,398
"[128, 128, 128]",34436,0.10257662832736969,393
"[128, 128, 128, 128]",50948,0.10361755639314651,400
"[128, 128, 128, 128, 128]",67460,0.10733313113451004,397
"[256, 256]",68612,0.09623393416404724,397
"[256, 256, 256]",134404,0.09796477854251862,380
"[256, 256, 256, 256]",200196,0.10026361048221588,400
"[256, 256, 256, 256, 256]",265988,0.10540785640478134,398
"[512, 512]",268292,0.09634023904800415,397
"[512, 512, 512]",530948,0.09759937971830368,393
"[512, 512, 512, 512]",793604,0.10098731517791748,393
"[512, 512, 512, 512, 512]",1056260,0.10481487214565277,400
"[1024, 1024]",1060868,0.10195331275463104,399
"[1024, 1024, 1024]",2110468,0.10344387590885162,399
"[1024, 1024, 1024, 1024]",3160068,0.1093551516532898,394
"[1024, 1024, 1024, 1024, 1024]",4209668,0.11014588922262192,387
