neurons_per_layer,depth,width,total_params,best_val_loss,best_epoch
"(4,)",1,4,172,0.3828508257865906,400
"(4, 4)",2,4,192,0.44897449016571045,400
"(4, 4, 4)",3,4,212,0.4038223922252655,400
"(4, 4, 4, 4)",4,4,232,0.4540674388408661,400
"(4, 4, 4, 4, 4)",5,4,252,0.5168783664703369,217
"(8,)",1,8,312,0.30637115240097046,400
"(8, 8)",2,8,384,0.23384879529476166,400
"(8, 8, 8)",3,8,456,0.21473823487758636,400
"(8, 8, 8, 8)",4,8,528,0.3177216053009033,400
"(16,)",1,16,592,0.24648939073085785,400
"(8, 8, 8, 8, 8)",5,8,600,0.17512859404087067,400
"(16, 16)",2,16,864,0.17673581838607788,400
"(16, 16, 16)",3,16,1136,0.12205948680639267,386
"(32,)",1,32,1152,0.19292491674423218,400
"(16, 16, 16, 16)",4,16,1408,0.11228837817907333,361
"(16, 16, 16, 16, 16)",5,16,1680,0.1104191392660141,232
"(32, 32)",2,32,2208,0.14503054320812225,391
"(64,)",1,64,2272,0.16134940087795258,400
"(32, 32, 32)",3,32,3264,0.09064214676618576,388
"(32, 32, 32, 32)",4,32,4320,0.08978983759880066,229
"(128,)",1,128,4512,0.15259510278701782,399
"(32, 32, 32, 32, 32)",5,32,5376,0.08433832973241806,317
"(64, 64)",2,64,6432,0.08654048293828964,395
"(256,)",1,256,8992,0.12134429067373276,397
"(64, 64, 64)",3,64,10592,0.07288303226232529,284
"(64, 64, 64, 64)",4,64,14752,0.07111338526010513,219
"(512,)",1,512,17952,0.09632587432861328,398
"(64, 64, 64, 64, 64)",5,64,18912,0.06903742998838425,200
"(128, 128)",2,128,21024,0.07194836437702179,292
"(1024,)",1,1024,35872,0.08751854300498962,396
"(128, 128, 128)",3,128,37536,0.061086151748895645,331
"(128, 128, 128, 128)",4,128,54048,0.05564327910542488,222
"(128, 128, 128, 128, 128)",5,128,70560,0.050903938710689545,187
"(2048,)",1,2048,71712,0.08182503283023834,388
"(256, 256)",2,256,74784,0.06455767154693604,388
"(256, 256, 256)",3,256,140576,0.04864812269806862,316
"(4096,)",1,4096,143392,0.08516904711723328,397
"(5000,)",1,5000,175032,0.08873578906059265,386
"(256, 256, 256, 256)",4,256,206368,0.044931117445230484,282
"(6000,)",1,6000,210032,0.09153571724891663,389
"(256, 256, 256, 256, 256)",5,256,272160,0.04415106400847435,244
"(512, 512)",2,512,280608,0.058813806623220444,398
"(512, 512, 512)",3,512,543264,0.046941254287958145,312
"(512, 512, 512, 512)",4,512,805920,0.04361198842525482,366
"(512, 512, 512, 512, 512)",5,512,1068576,0.04399789124727249,310
"(1024, 1024)",2,1024,1085472,0.05553843080997467,399
"(1024, 1024, 1024)",3,1024,2135072,0.047895170748233795,368
"(1024, 1024, 1024, 1024)",4,1024,3184672,0.04610203206539154,362
"(1024, 1024, 1024, 1024, 1024)",5,1024,4234272,0.045197393745183945,391
"(2048, 2048)",2,2048,4268064,0.05888267233967781,391
"(2048, 2048, 2048)",3,2048,8464416,0.05203797295689583,390
"(2048, 2048, 2048, 2048)",4,2048,12660768,0.05139005556702614,372
"(2048, 2048, 2048, 2048, 2048)",5,2048,16857120,0.04851657152175903,369
"(4096, 4096)",2,4096,16924704,0.06774821877479553,400
"(5000, 5000)",2,5000,25180032,0.07189026474952698,393
"(4096, 4096, 4096)",3,4096,33706016,0.06229083985090256,398
"(6000, 6000)",2,6000,36216032,0.07566218078136444,386
"(5000, 5000, 5000)",3,5000,50185032,0.06763014942407608,399
"(4096, 4096, 4096, 4096)",4,4096,50487328,0.06689625233411789,399
"(4096, 4096, 4096, 4096, 4096)",5,4096,67268640,0.07307595759630203,399
"(6000, 6000, 6000)",3,6000,72222032,0.0762973427772522,392
"(5000, 5000, 5000, 5000)",4,5000,75190032,0.0808892622590065,400
"(5000, 5000, 5000, 5000, 5000)",5,5000,100195032,0.09003379195928574,387
"(6000, 6000, 6000, 6000)",4,6000,108228032,0.08745038509368896,398
"(6000, 6000, 6000, 6000, 6000)",5,6000,144234032,0.1215784028172493,397
