train_frac,train_n,total_params,best_val_loss_mean,best_val_loss_std,best_epoch_mean,best_val_value_out_loss_mean,best_val_exists_out_loss_mean
0.3,255,1068576,0.05397455766797066,0.0007804489989444163,387.0,0.028004290536046028,0.014782100450247526
0.37777777777777777,321,1068576,0.04650035873055458,0.00017638456101809152,367.5,0.023378421552479267,0.013008843176066875
0.45555555555555555,387,1068576,0.05024460144340992,0.0007219360023211358,390.0,0.026549414731562138,0.013662117533385754
0.5333333333333333,453,1068576,0.043926846235990524,0.0003263641214441079,386.5,0.02176881954073906,0.012913127429783344
0.6111111111111112,520,1068576,0.04531654343008995,0.002994696905737001,321.0,0.023565353825688362,0.013541119173169136
0.6888888888888889,586,1068576,0.040999189019203186,0.0031791947350934394,395.5,0.02076608221977949,0.011511692777276039
0.7666666666666666,652,1068576,0.04082399047911167,0.0004988896116454207,347.0,0.0202384227886796,0.012067042291164398
0.8444444444444446,718,1068576,0.038269881159067154,0.0002987579356694723,398.5,0.019588151946663857,0.010441670659929514
0.9222222222222223,784,1068576,0.04178183525800705,4.521830009612543e-05,282.0,0.02056909166276455,0.012634403072297573
1.0,851,1068576,0.03607485070824623,0.000385849129761171,384.5,0.01801854744553566,0.009402225259691477
